Count,Pattern,Gram,quintile
1,^1 v7 v6 v5 v3 ^1 v7 v6 v5 ,Nine,3
1,^2 ^4 v3 v2 v1 v3 v2+ ^3 ^5+ ,Nine,4
1,v6 v5 v4 v3 ^4 v6 ^7 ^3 v2 ,Nine,4
1,^1 v2 v1+ ^2 ^4 4 v3 v2 v1 ,Nine,4
1,v2 v1+ 7- ^1 ^2- v1 ^2- ^3- v2- ,Nine,4
1,^4 ^5 ^6 v5 ^6 v5 v4 v3 ^4 ,Nine,4
1,v5 v4 v6+ ^7 ^3+ v3 v2 v5 ^4 ,Nine,5
1,v5 ^5+ ^6 ^1 v4 ^6 v2 ^2 v1 ,Nine,5
1,^5 5 ^6- v2 ^6- v5 ^6 v3- ^6 ,Nine,5
1,v1 v7 v6+ ^1 v7 v6+ v5 v4- ^5 ,Nine,5
1,^4 v3+ v2 v1 v4+ ^5 ^7 ^2 ^4 ,Nine,5
1,v1 ^2 v1 v7 ^1 ^3 v2 ,Seven,2
1,v2 v1 1 ^3 v7 ^1 v5 ,Seven,2
1,v5 ^1 ^2 ^3 ^4 ^6 v5 ,Seven,2
1,1 1 1 ^3 v2 v1 ^3 ,Seven,2
1,v7 ^1 1 ^3- ^5 ^6- v7 ,Seven,2
1,^4 v6- v5- ^6- ^4 v2- 2- ,Seven,3
1,v2 v6 ^7 v5 ^6 ^4 v3 ,Seven,3
1,^5 ^6 v5 v4 v3 v2 v5 ,Seven,3
1,5 5 ^6 ^7 ^1 ^2 ^3 ,Seven,3
1,^3 v1 ^2 v1 v7 ^2 v1 ,Seven,3
1,^6 v5+ v4 ^5+ v3 v1 v7- ,Seven,4
1,v3 ^4 4 v2+ ^3 v2 ^4 ,Seven,4
1,v3- ^4 4 4 4 v2- ^6 ,Seven,4
1,v3 v1 1 1 ^5 v4 ^5 ,Seven,4
1,^2 v6 ^2 v1 ^5 v4+ v2 ,Seven,4
1,1 ^3 v1 ^5 v3 v2 ^3 ,Seven,5
1,v4 ^4+ ^5+ ^6 v6- v5 v5- ,Seven,5
1,^1 ^2 v7 v5 ^7- ^1 ^2 ,Seven,5
1,v1 v7- ^4 4 4 v3 v2 ,Seven,5
1,^1 ^3- ^5- v4 ^7- v6 v4+ ,Seven,5
1,^1 v6 v5+ ,Three,4
1,4+ v4 4 ,Three,4
1,^5 ^6- ^2- ,Three,4
1,v6 v1 v6 ,Three,4
1,v7 v4+ v3 ,Three,4
1,v1 v7- ^7 ,Three,5
1,^1 v4 ^2 ,Three,5
1,v7 v4 ^7 ,Three,5
1,^3 ^2 2 ,Three,5
1,^7 v6 ^3 ,Three,5
1,^5 ^1+ ,Two,5
1,v6+ ^1+ ,Two,5
1,^5 v5+ ,Two,5
1,^2 ^2- ,Two,5
1,v3 1 ,Two,5
